"from","to","quote","chain_id","attribution","domain","statement_id"
83,91,"My husband has already died, I am not farming and the land is provided to other via contract. I lack financial capacity to invest in agriculture. Therefore, agriculture production is decreasing after three years because of the above reason I mentioned and the existing weather condition. [Because the weather condition in the last three year is unpredictable; all agricultural products that we are using in hungry time were dried.]",158,"6","Farming and Food",115
86,83,"In last three years no good change is witnessed in my life rather it has become worse in these three years. It is because of my husband's death. Farming is not providing the yield. In general, there is no change in income.",159,"6","Income from other sources",116
43,44,"In the last three years our health condition is good and we have good health. We are trying our best under the help of God and protecting our health in washing our body, our clothes, and our kitchen materials. We are practicing the lesson that we acquired from the health workers and other non-governmental organizations.",162,"3","Health and Education",119
83,87,"In the past three years agricultural product is declining because of the fluctuation of weather condition that becomes unpredictable. We are working hard, DA's are striving their best but the fluctuation and unpredictability of weather has reduced our agricultural product. I am really shocked because of the weather condition. [In the last three years our income is decreasing because of the weather condition which contributed for low agricultural productivity.]",163,"6","Farming and Food",120
83,87,NA,165,"6","Income from other sources",121
83,87,"while income is decreased due to low agricultural production related to weather conditions.",167,"6","Expenditure and Savings",122
64,63,"[In the last three years there is change in community development like the community is working in rural community roads, constructing local bridges, rehabilitating environment and other community works are taking place.] There is change and improvement in our community in last three years. The community is working through discussion and cooperation. This is because we are concerned for our community and solve our community problem in collaboration with government and NGO.",168,"3","Relationships (Community)",123
56,54,"I have also been saving in kind. I am member of in-kind saving team. We save 'iron sheet' that helps in building house. I have debt which is to be paid sometimes in future. But this change is good because there are improvements in our life. In the last three years, I managed to build new house. [Ranked Orgs: Send a Cow savings.]",173,"1","Expenditure and Savings",127
51,70,NA,175,"5","Overall Wellbeing",129
49,48,"We have been producing maize, beans and peas. In addition, we have been growing vegetable, cabbage and fruits with support of organization called 'Sendika'. 'Sendika' give us seeds of cabbage, carrot and other vegetables. They also educate us to grow vegetables.  'Sendika' has been giving us seeds of variety of vegetable. The vegetable seeds helped us a lot. Since last year, 'Sendika' is no longer providing us support.",180,"1","Farming and Food",132
83,90,"However, in the last three years, we are producing crops in lesser in quantity. Especially, we produce maize in lesser quantity compared to the previous years. As a result, we have been impoverished. We are no longer getting fertilizer from the Kebele. We don't have many cattle because finding pasture land where our cattle graze becomes difficult. We have one ox, milk cow and sheep. Previously, the Kebele has given us improved seeds of wheat and peas once we buy fertilizer from the Kebele. We have also given seeds of potatoes from the kebele.  However, that is no longer the case. The kebele ceased to give us seeds as well as fertilizer.",181,"6","Farming and Food",132
83,91,"The reasons are basically attributed to bad weather condition, and wrong use of fertilizer. We have used fertilizer but it did not help. Previously, we have been producing abundantly. Hence, we used to have surplus crops for market. However, in the last three years, we don't even have enough crops for household consumption. [We have to buy food from market].",182,"6","Farming and Food",133
86,83,"Currently, I am producing beans in lesser quantity. I mainly produce for household consumption. However, farming activity is not promising. The small size of my farmland coupled with lack of ox prevented from being productive. Previously, I have been working hard on my farmland but not anymore. I get sick so I couldn't do agricultural activities. So, farming activities has been weakening in the given period.",186,"6","Farming and Food",136
51,52,"I am a trader. My business activities helped me to improve my household income over the period. Business activities get better over the period. Increment of income from this activity helped me to improve my family life. The quality and variety of food that my household eats has been improved. I earn money from business activities. So, I have ability to buy variety of food items from market.",188,"5","Farming and Food",137
79,51,NA,191,"5","Income from other sources",139
83,91,"[the amount of production has been diminished due to bad weather condition.] I have also started doing business so as to support my family because farming activity is not going well. I am no longer collecting crops from my own farm for household consumption. Nowadays, we buy most of our food items from the market.",196,"6","Farming and Food",141
83,100,NA,197,"6","Farming and Food",142
83,96,NA,200,"6","Overall Wellbeing",145
83,100,"Farming activity has been disappointing because of bad weather conditions. [Recently, we have been producing crops in lesser quantity. Hence, the amount of food my family eats over the past three years is decreasing.]",203,"6","Farming and Food",148
51,48,"I have been doing business to earn money. [Increment of income from non-farming activities helped me to improve my family life.]",204,"5","Income from other sources",149
48,70,NA,205,"5","Overall Wellbeing",150
83,87,NA,210,"6","Farming and Food",153
83,91,NA,211,"6","Farming and Food",154
83,90,"Expropriation of our fertile farmland affected us a lot. Since the expropriation of our fertile land, we have been struggling to make ends meet. We couldn't make any purchase.",212,"6","Income from other sources",155
80,53,NA,213,"5","Expenditure and Savings",156
83,87,"In the last three years, I wasn't able to produce as intensively compared to the previous years. Perhaps, it is the bad weather condition. This year, I have produced maize in lesser quantity. Over the last three years, the production amount goes down. The market return of my farming product is low so I couldn't cover the costs related to fertilizer.",217,"6","Farming and Food",159
86,87,"In addition to this, physical disability on my hand reduced my productivity. I cannot work on my farm instead I have to hire someone who works on my land. [That reduced my income and affected the amount of food my household eats during this period.]",218,"6","Farming and Food",159
56,53,"I have been saving at WDA so I managed to own poultry.",219,"1","Farming and Food",159
86,100,"Moreover, the physical disability hindered me from working intensively in the farming land. I have to rent my land to other able man due to my disability. That reduced my income and affected the amount of food my household eats during this period.",220,"6","Farming and Food",160
83,87,NA,221,"6","Income from other sources",161
56,57,"I am saving 7 birr per week at WDA. I have borrowed money to cover costs of my children's education.",222,"1","Expenditure and Savings",162
87,96,NA,224,"6","Overall Wellbeing",164
100,96,NA,225,"6","Overall Wellbeing",164
74,50,NA,227,"5","Farming and Food",166
56,55,"Besides farming activity, I do business. I sell coffee on market. The money I saved at WDA helped me to engage in business activity. [My business activity helped me to support my family.]",228,"1","Income from other sources",167
74,48,NA,230,"5","Relationships (Household)",169
50,61,"Last year, the organization called 'Sendika' has given me seeds of vegetable like cabbage and others. I have produced vegetable for household consumption and I have also earned money by selling the surplus product.",235,"1","Farming and Food",172
86,87,"Previously, I have been doing business. However, I quit doing business during childbearing period. [Income worse due to stopping business].",238,"6","Income from other sources",174
86,90,NA,240,"6","Overall Wellbeing",176
50,61,"Important link to Sendika - It provided me improved seeds of vegetable. Last year, I managed to produce vegetable for household consumption. I have also made profit by selling the surplus product.",241,"1","Links to other organisations",177
57,55,"Furthermore, the same organization lends us money. Last year, I have borrowed money to start business. I was able to engage in business activity following their finaciacial assistance.",242,"1","Links to other organisations",177
83,87,"In the last three years, farming activities has been getting worse due to bad weather condition. Amount of farming production has diminished a lot. Farming land is no longer productive. I have been producing maize, teff and peas. However, I have been producing those crops in lesser quantity compared to the previous years. [Climate change has negatively affected my farming activity. I am no longer producing surplus crops for market in order to earn money. I mainly produce for household consumption.]",244,"6","Farming and Food",178
83,96,NA,247,"6","Overall Wellbeing",180
44,55,"[However, recently, my health condition is getting better after being healed by divine intervention.] In addition, I do business. I have started doing business since my health condition gets better. [I have been doing business. Increment in income from my business activity helped me to improve my life.]",250,"5","Farming and Food",182
44,55,NA,251,"5","Farming and Food",183
51,76,NA,253,"5","Income from other sources",185
48,70,NA,255,"5","Overall Wellbeing",187
44,55,NA,256,"5","Overall Wellbeing",187
50,61,"Besides working on our farmland, my husband has rented farmland from his brothers so as to produce more crops. We have been producing maize, beans, coffee, and potatoes. This year, we have been producing beans for market in order to earn money. Hence, we were able to cover expenses of fertilizer, tax and others. We also managed to pay for health insurance. I have one cow for milking, and sheep.",257,"5","Farming and Food",188
90,96,NA,259,"6","Overall Wellbeing",190
65,66,"I am actively involved with Sendika organization activities. I am member of committee. I have also shared my Sendika experiences to my neighbors. For example, one neighbor who employed vegetable growing method, has produced surplus carrots for market, and made huge profit. Similarly, my activity with Sendika inspired the other neighbor who ended up taking sheep and managed to make profit.",267,"1","Relationships (Community)",198
72,50,"I have been producing teff, vegetables, maize and others. The type of crops we plant depends on the seasons. I have been producing more compared to the previous years. I have recently harvested teff.  I have been producing cabbage. There has been change in farming activity thanks to the government intervention. Agricultural officers have educated us about best method of farming. Such kind of intervention has helped me a lot. [My household income has improved because of increment of income from farming products over the period.]",273,"3","Farming and Food",202
51,62,"[There has been change in farming activity thanks to the government intervention...My household income has improved because of increment of income from farming products over the period.]The amount of food my household eats has also increased because of improvement in household income.",274,"3","Farming and Food",203
50,51,"My household income has been improved over time. [My household income has improved because of increment of income from farming products over the period...Farming production increased due to agricultural training]",275,"1","Income from other sources",204
72,50,"We (my husband and I) have been producing more of crops in quantity over the past three years. Last year, I have produced vegetables by applying farming method employed by my neighbors who are linked with 'Sendika' organization. I am not member of Sendika organization though. [Increase of farming production has improved my household income.]",279,"1","Farming and Food",208
72,50,"[Produced vegetables by applying farming method employed by my neighbours who are linked to SAC]. The amount of production and harvest has been increased during the last three years because of the hard work, and using organic fertilizer like animal wastes. We use non-organic fertilizer for teff and maize. Moreover, we often grow more of those crops fitting the season best. We produce for household consumption as well as for market to earn money.",281,"1","Farming and Food",208
50,61,"[We produce for household consumption as well as for market to earn money.] Increase of farming production has improved my household income. There has been high market return of our farming products.",282,"1","Farming and Food",209
50,51,"[Increase of farming production has improved my household income. ] The amount of food my household eats has increased over this period because our income has been increased.",283,"1","Farming and Food",210
50,51,"During the last three years, our income has been increased. We have been producing crops intensively for market. We have produced potatoes in higher quantity. [Employed method of SAC beneficiary and improved production.]",284,"1","Income from other sources",211
72,51,NA,286,"1","Expenditure and Savings",213
72,51,NA,287,"1","Expenditure and Savings",213
72,51,NA,288,"1","Overall Wellbeing",214
72,51,NA,289,"1","Overall Wellbeing",214
83,87,NA,292,"6","Farming and Food",217
83,87,NA,293,"6","Farming and Food",218
83,87,NA,294,"6","Income from other sources",219
51,54,"The farming has been very good and I was productive in the past three years. For example I produce about 10 quintals of teff per plot of land and I have benefited a lot from it. I also have grown maize, beans, oats and have benefited a lot. I have also received support through 'send organization'. I have started growing vegetables like cabbage, carrot, potato, beetroots and have benefited a lot...I was able to build a new house with the increased income.",18,"1","Farming and Food",13
51,54,"They have also provided me with materials used for farming activity that helped me a lot to enhance my productivity. [The increased production of teff and maize, with increased price, helped us to get better income.] I was able to build a new house with the increased income.",20,"1","Farming and Food",13
50,59,NA,23,"1","Farming and Food",16
51,73,"[Improved farming production due to SAC support]. The increased farming activity helped me to get better income which further enhanced my trading activity. So trading is helping me to augment my income.",25,"1","Income from other sources",18
53,48,"My diligence, with the help I got from Send organization, helped me to augment my income and to buy those assets.",26,"1","Expenditure and Savings",19
50,60,NA,52,"5","Overall Wellbeing",42
91,92,NA,61,"6","Income from other sources",46
91,92,"[The climate change has posed great challenge in finding enough food from our farm.] So whatever income we get, it is not more than our costs. We have also to purchase food since the land is not as productive as it used to be.",62,"6","Expenditure and Savings",47
48,62,"Following the training from agricultural extension workers, I engaged in poultry and benefited highly from it. Poultry is different from what the rest of neighbours doing. I didn't produce anything for sale. I did never do that before even, because the production did not surpass home consumption. Previously, there were times when we did not eat our lunch after breakfast but now it is better. Now people can eat three times a day by doing anything including labour works. Now it is becoming better. I myself now can eat three times a day but previously I was struggling. I used to pass a day without any meal before. Now though there is scarcity of grain, people have money. What is your staple food? We use different products of false banana or inset from which  we prepare traditional foods such as blanduwa, uncha bacira. And also we use traditional foods such as boyna (yam) and sweat potato.",75,"3","Farming and Food",53
52,62,NA,88,"5","Farming and Food",62
52,59,NA,89,"5","Farming and Food",62
53,55,"Using the income from my husband that he earned working as a foreman and from my petty trading, we bought a Bajaj vehicle. Now my husband generates income from the Bajaj vehicle.",103,"6","Income from other sources",75
101,83,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we don't. Women cannot afford to eat meat with absence of men's or husbands' financial support.",110,"6","Farming and Food",81
83,91,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we don't. Women cannot afford to eat meat with absence of men's or husbands' financial support.",111,"6","Farming and Food",81
50,60,"The farming is good now since the past few years. We used to purchase food items from the market but now we produce from the farm. We use biogas and solar following the support we got from [WDA]. So we are now leading better life. The compost we got from biogas helped us to increase the fertility of land and to reduce the cost of fertilizer. It is three people with me who are using biogas technology in our locality while the other members of the community refused to use it. The biogas is helping us to prepare food, to get light, as well as to increase fertility of the soil.",120,"1","Farming and Food",87
50,59,"We are using biogas [from WDA], solar which enhanced our productivity. We are also using compost instead of fertilizer. So increased production helped us to eat better.",124,"1","Farming and Food",89
53,72,"It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases. I have borrowed money from Wolima to buy biogas.",126,"1","Expenditure and Savings",90
50,44,"We have improvement in our health and we are taking varieties of food because of the change in our life. The reason for overall change and improvement is agriculture and agricultural productivity has increased. This is because of my commitment in farming and the way of farming is improved; cultivating according to seasons; when and where agriculture is effective.",142,"3","Farming and Food",103
50,59,"We have improvement in our health and we are taking varieties of food because of the change in our life. The reason for overall change and improvement is agriculture and agricultural productivity has increased. This is because of my commitment in farming and the way of farming is improved; cultivating according to seasons; when and where agriculture is effective.",143,"7","Farming and Food",103
53,55,"Generally, my income has increased not only from agriculture but also from apiculture and fattening. Even the income I earn only from honey and honey product covers all my expenditures including land tax and all home expenditures. [Ability to purchase household goods has increased because of income. Purchased bike for son for is earning a living from it.]",145,"5","Income from other sources",105
55,51,NA,149,"1","Expenditure and Savings",107
91,104,"My husband has already died, I am not farming and the land is provided to other via contract. I lack financial capacity to invest in agriculture. Therefore, agriculture production is decreasing after three years because of the above reason I mentioned and the existing weather condition. [Because the weather condition in the last three year is unpredictable; all agricultural products that we are using in hungry time were dried.]",158,"6","Farming and Food",115
91,92,"The reasons are basically attributed to bad weather condition, and wrong use of fertilizer. We have used fertilizer but it did not help. Previously, we have been producing abundantly. Hence, we used to have surplus crops for market. However, in the last three years, we don't even have enough crops for household consumption. [We have to buy food from market].",182,"6","Farming and Food",133
52,59,"I am a trader. My business activities helped me to improve my household income over the period. Business activities get better over the period. Increment of income from this activity helped me to improve my family life. The quality and variety of food that my household eats has been improved. I earn money from business activities. So, I have ability to buy variety of food items from market.",188,"5","Farming and Food",137
91,92,"[the amount of production has been diminished due to bad weather condition.] I have also started doing business so as to support my family because farming activity is not going well. I am no longer collecting crops from my own farm for household consumption. Nowadays, we buy most of our food items from the market.",196,"6","Farming and Food",141
91,100,NA,211,"6","Farming and Food",154
90,89,"Expropriation of our fertile farmland affected us a lot. Since the expropriation of our fertile land, we have been struggling to make ends meet. We couldn't make any purchase.",212,"6","Income from other sources",155
87,89,"In the last three years, I wasn't able to produce as intensively compared to the previous years. Perhaps, it is the bad weather condition. This year, I have produced maize in lesser quantity. Over the last three years, the production amount goes down. The market return of my farming product is low so I couldn't cover the costs related to fertilizer.",217,"6","Farming and Food",159
57,69,"I am saving 7 birr per week at WDA. I have borrowed money to cover costs of my children's education.",222,"1","Expenditure and Savings",162
50,60,NA,227,"5","Farming and Food",166
55,48,"Besides farming activity, I do business. I sell coffee on market. The money I saved at WDA helped me to engage in business activity. [My business activity helped me to support my family.]",228,"1","Income from other sources",167
61,51,"Last year, the organization called 'Sendika' has given me seeds of vegetable like cabbage and others. I have produced vegetable for household consumption and I have also earned money by selling the surplus product.",235,"1","Farming and Food",172
61,51,"Important link to Sendika - It provided me improved seeds of vegetable. Last year, I managed to produce vegetable for household consumption. I have also made profit by selling the surplus product.",241,"1","Links to other organisations",177
55,51,"[However, recently, my health condition is getting better after being healed by divine intervention.] In addition, I do business. I have started doing business since my health condition gets better. [I have been doing business. Increment in income from my business activity helped me to improve my life.]",250,"5","Farming and Food",182
55,52,NA,251,"5","Farming and Food",183
55,70,NA,256,"5","Overall Wellbeing",187
61,51,"Besides working on our farmland, my husband has rented farmland from his brothers so as to produce more crops. We have been producing maize, beans, coffee, and potatoes. This year, we have been producing beans for market in order to earn money. Hence, we were able to cover expenses of fertilizer, tax and others. We also managed to pay for health insurance. I have one cow for milking, and sheep.",257,"5","Farming and Food",188
50,51,"I have been producing teff, vegetables, maize and others. The type of crops we plant depends on the seasons. I have been producing more compared to the previous years. I have recently harvested teff.  I have been producing cabbage. There has been change in farming activity thanks to the government intervention. Agricultural officers have educated us about best method of farming. Such kind of intervention has helped me a lot. [My household income has improved because of increment of income from farming products over the period.]",273,"3","Farming and Food",202
50,51,"We (my husband and I) have been producing more of crops in quantity over the past three years. Last year, I have produced vegetables by applying farming method employed by my neighbors who are linked with 'Sendika' organization. I am not member of Sendika organization though. [Increase of farming production has improved my household income.]",279,"1","Farming and Food",208
50,60,"[Produced vegetables by applying farming method employed by my neighbours who are linked to SAC]. The amount of production and harvest has been increased during the last three years because of the hard work, and using organic fertilizer like animal wastes. We use non-organic fertilizer for teff and maize. Moreover, we often grow more of those crops fitting the season best. We produce for household consumption as well as for market to earn money.",281,"1","Farming and Food",208
61,51,"[We produce for household consumption as well as for market to earn money.] Increase of farming production has improved my household income. There has been high market return of our farming products.",282,"1","Farming and Food",209
51,62,"[Increase of farming production has improved my household income. ] The amount of food my household eats has increased over this period because our income has been increased.",283,"1","Farming and Food",210
51,53,NA,286,"1","Expenditure and Savings",213
51,54,NA,287,"1","Expenditure and Savings",213
51,53,NA,288,"1","Overall Wellbeing",214
51,62,NA,289,"1","Overall Wellbeing",214
