statement_id,key,value
1000,"Overall, how has what you as a household can purchase with money changed over the period?",No change
1001,What is the main reason for any change?,NA
1002,"Please tell me how relationships within your household have changed in the past three years, if at all.",Our relationship has been the same in the last three years. Both my wife and I work hard to improve our life; we respect and love each other. We never had any serious issues that damage our relationship during this period
1003,Overall how do you feel that relationships within your household have changed…,No change
1004,What is the main reason for any change?,NA
1005,Do you feel that there has been any change in the way people in the community work together?,"It is been the same. In every rainy season, the community has got something to do together. And in dry season, there isn’t much to do since most of the things we work together related to farming activities which are undertaken in rainy season than dry seasons."
1006,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
1007,What is the main reason for any change?,NA
1008,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
1009,"How hopeful are you for the future, do you feel your wellbeing will improve?",I hope things will get better on future.
1010,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1011,"Important links to organisations, activity & change",Important link to  -
1012,"Important links to organisations, activity & change",Important link to  -
1013,"Important links to organisations, activity & change",Important link to  -
1014,"Important links to organisations, activity & change",Important link to  -
1015,"Important links to organisations, activity & change",Important link to  -
1016,"Important links to organisations, activity & change",Important link to  -
1017,"Important links to organisations, activity & change",Important link to  -
1018,"Important links to organisations, rank",Send a Cow - 1
1019,"Important links to organisations, rank",-
1020,"Important links to organisations, rank",-
1021,"Important links to organisations, rank",-
1022,"Important links to organisations, rank",-
1023,"Important links to organisations, rank",-
1024,"Important links to organisations, rank",-
1025,"Important links to organisations, rank",-
1026,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.","I am not clear with the purpose of this interview. Who are you? Why are you here? What is the reason for undertaking this interview? You have mentioned about education, but I am not yet clear with your intention."
1027,Note down any of your own observations which you think are relevant.,"The interviewee appears to be confident. He is somehow free and managed to discuss without stress. It seems that he has been withholding some information. He didn’t look comfortable with revealing everything. Perhaps, he thought disclosing some information is dangerous or will likely affect him at some point. As interviewer, I have been repeatedly reminding him to feel free and tell the whole truth."
1028,Household code,LAF-9
1029,Name of kebele,Waraza Lasho
1030,Name of interviewer,Engudy Meskele
1031,Date of interview,28/12/2018
1032,Start time of interview  (hh:mm),10:58
1033,End time of interview (hh:mm),11:27
1034,Duration of interview (in minutes),29
1035,Please can you tell me who currently belongs to your household?,NA
1036,What is the age of the main respondent?,30
1037,What is the education of the main respondent?,8
1038,What is the household size (residents > 6months)?,9
1039,How many under 18's in the household?,6
1040,How many under 16's in full time education in the household?,4
1041,Please note down the sex of the head of the household.,Female
1042,Does anyone in the household have a chronic illness or disability?,No
1043,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
1044,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
1045,What is the main reason for any change?,"We have grown maize, wheat and peas but most of these crops have been lost over the last three years. As result, the amount of production got worse in the given period. That affected our food security a lot. So, we have been struggling to cope up with life. We have to buy food from market."
1046,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
1047,What is the main reason for any change?,NA
1048,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.",I am trader. I have been selling butter. There are no new activities I have taken in the given period.
1049,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Decreased
1050,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
1051,What is the main reason for any change?,"In the good old days, we have been doing great at farming. We used to have sufficient food for consumption. But these days, our farming activities are not as good as previous years. We have to buy food from market. That affected us a lot. Most of what I earn from trading goes to buy food form market. We lived from hand-to-mouth."
1052,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.","I have spent more money for buying food items. I also spent money to buy clothes for my kids. I also contribute money to ‘Meskel Idir’ (traditional self help).  I often save more when business activities get better. These days, I am saving but less. We have sold trees. My asset has gone down over the period. For instance, we have sold so many things including trees we planted in previous year. However this change is good because we have built new house."
1053,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.","I have spent more money for buying food items. I also spent money to buy clothes for my kids. I also contribute money to ‘Meskel Idir’ (traditional self help).  I often save more when business activities get better. These days, I am saving but less. We have sold trees. My asset has gone down over the period. For instance, we have sold so many things including trees we planted in previous year. However this change is good because we have built new house."
1054,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",We have sold trees and others stuffs to build new houses over the past three years.
1055,"Overall, how has what you as a household can purchase with money changed over the period?",No change
1056,What is the main reason for any change?,NA
1057,"Please tell me how relationships within your household have changed in the past three years, if at all.","There is no change in relationships within my household in the last three years. Since earlier times, we love and respect each other."
1058,Overall how do you feel that relationships within your household have changed…,No change
1059,What is the main reason for any change?,NA
1060,"Please tell me how your relationships with others living in this community have changed during the period, if at all.",We have good relationship with other people in our neighbourhood and village. I have not involved in anything. I didn’t also assume any role other than taking part in ‘Idir’
1061,Do you feel that there has been any change in the way people in the community work together?,There is no change during this period.
1062,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
1063,What is the main reason for any change?,NA
1064,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",No change
1065,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,NA
1066,"How hopeful are you for the future, do you feel your wellbeing will improve?",I don't know. But I hope things will get better.
1067,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1068,"Important links to organisations, activity & change","Important link to World Vision - previously, world vision has built school (1st Grade -8th Grade school) for our community. It has also supported one of my sons with his education. The organization provided him with school uniform, and stationary. But later one, it stopped providing support."
1069,"Important links to organisations, activity & change",Important link to  -
1070,"Important links to organisations, activity & change",Important link to  -
1071,"Important links to organisations, activity & change",Important link to  -
1072,"Important links to organisations, activity & change",Important link to  -
1073,"Important links to organisations, activity & change",Important link to  -
1074,"Important links to organisations, activity & change",Important link to  -
1075,"Important links to organisations, rank",Send a Cow - 1
1076,"Important links to organisations, rank",World Vision - 2
1077,"Important links to organisations, rank",-
1078,"Important links to organisations, rank",-
1079,"Important links to organisations, rank",-
1080,"Important links to organisations, rank",-
1081,"Important links to organisations, rank",-
1082,"Important links to organisations, rank",-
1083,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
1084,Note down any of your own observations which you think are relevant.,"She discussed well. However, it seemed that she overstated some of the facts to make her point that there is serious problem on the part of the government."
1085,Household code,LAF-11
1086,Name of kebele,Lasho Waraza
1087,Name of interviewer,Engudya Meskele
1088,Date of interview,12/28/18
1089,Start time of interview  (hh:mm),13:30
1090,End time of interview (hh:mm),14:10
1091,Duration of interview (in minutes),40
1092,Please can you tell me who currently belongs to your household?,NA
1093,What is the age of the main respondent?,25
1094,What is the education of the main respondent?,1
1095,What is the household size (residents > 6months)?,5
1096,How many under 18's in the household?,3
1097,How many under 16's in full time education in the household?,2
1098,Please note down the sex of the head of the household.,Male
1099,Does anyone in the household have a chronic illness or disability?,No
1100,"Overall, how has the income your family earns from farming changed during the past three years?",No change
1101,What is the main reason for any change?,NA
1102,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
1103,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
1104,What is the main reason for any change?,"The quality and variety of food that my household eats has been improved. I earn money from business activities. So, I have ability to buy variety of food items from market. These days, we don’t get anything from farmland for personal consumption. But we often eat vegetables, fruits and pasta."
1105,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
1106,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
1107,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.",I have been spending money to buy food for household consumption. I am also saving money. I am saving 30 birr per week. I could not say total value of my asset has gone up but I bought various household objects over the period.
1108,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","There are not significant purchases I have made during the last three years. However, we have a plan to build new house."
1109,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
1110,What is the main reason for any change?,My business activity is going well.
1111,"Please tell me how relationships within your household have changed in the past three years, if at all.","There is no change in relation within my household in the last three years. Both my husband and I are working hard. He often gives me a call, and he also pays us a visit during holidays."
1112,Overall how do you feel that relationships within your household have changed…,No change
1113,What is the main reason for any change?,NA
1114,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","We have good relationship with others in the village. There is no change at all. We have communal life. We support each other whenever one of our community members builds new house, or during childbearing. There is also team of 1 to 5 who work together to ensure clean and healthy environment, hygiene and sanitation. Since our neighbourhood upgraded to be urban centre, we managed to address some of common concerns through discussion with Kebele administration. But there is also disagreement among people within community."
1115,Do you feel that there has been any change in the way people in the community work together?,No. It has been the same.
1116,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
1117,What is the main reason for any change?,NA
1118,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",No change
1119,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,"Although I have been working hard to improve life, I am yet to make significant change in our family life. Still my expenditure is greater than my income."
1120,"How hopeful are you for the future, do you feel your wellbeing will improve?",I am hopeful and working hard to turn things for good.
1121,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1122,"Important links to organisations, activity & change",Important link to No organization was stated -
1123,"Important links to organisations, activity & change",Important link to  -
1124,"Important links to organisations, activity & change",Important link to  -
1125,"Important links to organisations, activity & change",Important link to  -
1126,"Important links to organisations, activity & change",Important link to  -
1127,"Important links to organisations, activity & change",Important link to  -
1128,"Important links to organisations, activity & change",Important link to  -
1129,"Important links to organisations, activity & change",Important link to  -
1130,"Important links to organisations, rank",-
1131,"Important links to organisations, rank",-
1132,"Important links to organisations, rank",-
1133,"Important links to organisations, rank",-
1134,"Important links to organisations, rank",-
1135,"Important links to organisations, rank",-
1136,"Important links to organisations, rank",-
1137,"Important links to organisations, rank",-
1138,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",She did not pose any question. But she mentioned that she found the interview interesting because most of the questions asked by the interviewer are critical and it is very important these questions.
1139,Note down any of your own observations which you think are relevant.,"The interviewee looks confident. It seems that she thought the questions were directed so as to evaluate the works of Kebele administration. Frequently, she has been explaining about maladministration issues on the part of the kebele adminstration."
1140,Household code,LBM-13
1141,Name of kebele,Waraza Lasho
1142,Name of interviewer,Engudya Meskele
1143,Date of interview,01/01/2019
1144,Start time of interview  (hh:mm),09:40
1145,End time of interview (hh:mm),10:20
1146,Duration of interview (in minutes),40
1147,Please can you tell me who currently belongs to your household?,NA
1148,What is the age of the main respondent?,42
1149,What is the education of the main respondent?,5
1150,What is the household size (residents > 6months)?,10
1151,How many under 18's in the household?,8
1152,How many under 16's in full time education in the household?,6
1153,Please note down the sex of the head of the household.,Male
1154,Does anyone in the household have a chronic illness or disability?,No
1155,Has anything changed in the way you farm for home consumption or income in the last three years?,"I have small farmland. I have been growing sweet potatoes, potatoes, teff, and wheat. This year, I have stopped growing maize because of fearing crop disease related to maize. However, the amount of production has been diminished due to bad weather condition. Last year, I have bought cabbage, carrot and other vegetables from people who are involved with ‘Sendika’ organization. I have bought vegetables for household consumption. I also own cattle jointly with other neighbour. I have two cows and one ox.  I have also started doing business so as to support my family because farming activity is not going well. Most of the crops like teff, wheat and sweet potatoes I have planted have lost during the last year. In previous years, I have been producing maize for household consumption. I am no longer collecting crops from my own farm for household consumption. Nowadays, we buy most of our food items from the market. Others in my neighbourhood are doing better than me because their farming land is lager in size hence; they managed to have increased production of crops over the past three years."
1156,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
1157,What is the main reason for any change?,"Farming production has been diminishing over this period due to bad weather condition. As a result, we don’t produce surplus food for market to earn money. The climate change has affected farming activity a lot. It is becoming difficult for me to support a family of 10 individuals."
1158,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
1159,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
1160,What is the main reason for any change?,The variety of food my household has been eating remains the same over this period.
1161,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,No change
1162,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",No change
1163,What is the main reason for any change?,NA
1164,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",I did not make any significant purchases so as to add to my assets over the past three years.
1165,"Overall, how has what you as a household can purchase with money changed over the period?",No change
1166,What is the main reason for any change?,NA
1167,"Please tell me how relationships within your household have changed in the past three years, if at all.","Relationships within my household remain the same during this period. Since earlier time, we have loved each other and it is still the same. Relationship with children is also good."
1168,Overall how do you feel that relationships within your household have changed…,No change
1169,What is the main reason for any change?,NA
1170,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","We have a good culture of assisting each other within the community. We also undertake various activities such as repairing road and other development tasks. Currently, we are collecting money to build home for teachers. I am member of team of 1 to 5 network who deal with various issues that concern the community. The community members are always positive to work together."
1171,Do you feel that there has been any change in the way people in the community work together?,Nothing has changed during this period.
1172,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
1173,What is the main reason for any change?,The community is more cooperative.
1174,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Worse
1175,"How hopeful are you for the future, do you feel your wellbeing will improve?","I hope things will improve if the weather condition gets better. When the weather condition gets better, every aspect of household life will get improved."
1176,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1177,"Important links to organisations, activity & change",Important link to  -
1178,"Important links to organisations, activity & change",Important link to  -
1179,"Important links to organisations, activity & change",Important link to  -
1180,"Important links to organisations, activity & change",Important link to  -
1181,"Important links to organisations, activity & change",Important link to  -
1182,"Important links to organisations, activity & change",Important link to  -
1183,"Important links to organisations, activity & change",Important link to  -
1184,"Important links to organisations, rank",Safetynet Program - 1
1185,"Important links to organisations, rank",-
1186,"Important links to organisations, rank",-
1187,"Important links to organisations, rank",-
1188,"Important links to organisations, rank",-
1189,"Important links to organisations, rank",-
1190,"Important links to organisations, rank",-
1191,"Important links to organisations, rank",-
1192,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
1193,Note down any of your own observations which you think are relevant.,The interviewee had no question. He discussed freely and explained things well.
1194,Household code,LBF-31
1195,Name of kebele,Waraza Lasho
1196,Name of interviewer,Enguday Meskele
1197,Date of interview,01/01/2019
1198,Start time of interview  (hh:mm),16:35
1199,End time of interview (hh:mm),17:10
1200,Duration of interview (in minutes),35
1201,Please can you tell me who currently belongs to your household?,NA
1202,What is the age of the main respondent?,28
1203,What is the education of the main respondent?,None
1204,What is the household size (residents > 6months)?,7
1205,How many under 18's in the household?,5
1206,How many under 16's in full time education in the household?,5
1207,Please note down the sex of the head of the household.,Male
1208,Does anyone in the household have a chronic illness or disability?,No
1209,Please tell me about any changes in the health of your household during this period.,"I am not in good health in the last three years. Though there is health care centre in a nearby village, health care providers don’t serve us properly. Once upon a time, I have visited traditional healers because health care centre doesn’t treat me well. One of my kids doesn’t often feel well. However, the health care centre here does not help us. On the other hand, all my kids are attending schools. I am sending all of my kids to school. We don’t have clean water within safe physical reach. We sometimes struggle to get clean water for drinking and other uses. There are some people in our neighbourhood who have water wells planted by the organization called ‘Sendika’. However, they don’t allow us to fetch water from their well. They use water to drink, grow vegetables and other crops. So, we have to take a long walk to fetch water from villages far away from us. My family hygiene and sanitation practices get better during this period due to health extension work."
1210,Has anything changed in the way you farm for home consumption or income in the last three years?,"Farming activity has been disappointing because of bad weather conditions. I have been producing maize, teff, peas and beans. Recently, I am producing more potatoes, and less teff. I stopped growing maize because of crop disease. I couldn’t  grow vegetables because I don’t have adequate water. Those people who have been linked to the organization called ‘Sendika’ grow vegetables, and they also have water well in their vicinity. They benefit a lot by selling out improved seeds of vegetables. I own one ox and two hens. There is no new activity I have taken in term of farming. It is business activity which helps me to support family during this period."
1211,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
1212,What is the main reason for any change?,"Last year, I have produced teff in higher quantity. But this year, things have been worse due to bad weather condition."
1213,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
1214,What is the main reason for any change?,"Recently, we have been producing crops in lesser quantity. Hence, the amount of food my family eats over the past three years is decreasing."
1215,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
1216,What is the main reason for any change?,"During this period, my household eats variety of things like 'Enjera' pasta, cabbage, and other food items from market."
1217,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
1218,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
1219,What is the main reason for any change?,Increment of income from non-farming activities helped me to improve my family life.
1220,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.",I am spending money to buy food for household. I also spend money for various social activities. I have spent money to cover living costs. I am saving 100 birr per week. I did not make any significant purchase or investment though.
1221,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","As I told you ealier, I did not make any significant purchase or investment in the past three years."
1222,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
1223,What is the main reason for any change?,"I am a seller. And business activity is getting better. As result, things has been improved in that regard."
1224,"Please tell me how relationships within your household have changed in the past three years, if at all.","Relationship within our household has been good. We love and respect each other. Recently, my husband started class (education). I have his back. When it is about serious matter or something of concern to family, we discuss and decide together."
1225,Overall how do you feel that relationships within your household have changed…,No change
1226,What is the main reason for any change?,NA
1227,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","We have good relationships with others in the community. The relationship has been the same over the past three years. Most of the time, our husbands involve in various community level activity. In the last three years, we have assisted the local school with harvesting teff."
1228,Do you feel that there has been any change in the way people in the community work together?,"It is been the same during the last three years. Our husbands often assist each other in agricultural work. On the other hand, female households support each other during social events. There has not been any change the way the community work together over this period."
1229,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
1230,What is the main reason for any change?,NA
1231,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
1232,"How hopeful are you for the future, do you feel your wellbeing will improve?","Yes, I am hopeful. I have faith in God that life will get better."
1233,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1234,"Important links to organisations, activity & change",Important link to no organization was stated -
1235,"Important links to organisations, activity & change",Important link to  -
1236,"Important links to organisations, activity & change",Important link to  -
1237,"Important links to organisations, activity & change",Important link to  -
1238,"Important links to organisations, activity & change",Important link to  -
1239,"Important links to organisations, activity & change",Important link to  -
1240,"Important links to organisations, activity & change",Important link to  -
1241,"Important links to organisations, activity & change",Important link to  -
1242,"Important links to organisations, rank",-
1243,"Important links to organisations, rank",-
1244,"Important links to organisations, rank",-
1245,"Important links to organisations, rank",-
1246,"Important links to organisations, rank",-
1247,"Important links to organisations, rank",-
1248,"Important links to organisations, rank",-
1249,"Important links to organisations, rank",-
1250,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
1251,Note down any of your own observations which you think are relevant.,She seems so honest with her remark. She felt free and discussed everything.
1252,Household code,LBF-32
1253,Name of kebele,Waraza Lasho
1254,Name of interviewer,Enguday Meskele
1255,Date of interview,01/01/2019
1256,Start time of interview  (hh:mm),17:16
1257,End time of interview (hh:mm),17:48
1258,Duration of interview (in minutes),32
1259,Please can you tell me who currently belongs to your household?,NA
1260,What is the age of the main respondent?,45
1261,What is the education of the main respondent?,None
1262,What is the household size (residents > 6months)?,9
1263,How many under 18's in the household?,4
1264,How many under 16's in full time education in the household?,4
1265,Please note down the sex of the head of the household.,Male
1266,Does anyone in the household have a chronic illness or disability?,No
1267,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
1268,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
1269,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Got worse
1270,What is the main reason for any change?,"As I mentioned earlier, expropriation of our fertile farmland affected us in every way."
1271,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.","We don’t have additional source of income other than farming. In addition to the farmland belongs to us, my husband rented land from others."
1272,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Decreased
1273,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
1274,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",We did not make any significant purchase or investment.
1275,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
1276,What is the main reason for any change?,"As I told you earlier, expropriation of our fertile land has affected us a lot. We couldn't make any purchase."
1277,Overall how do you feel that relationships within your household have changed…,No change
1278,What is the main reason for any change?,NA
1279,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","There is strong communal life. We have good relationships with others in our community. There is also practice of working together with Kebele. Community members are involved in various development activities. We have also contributed money and other construction stuffs to build Kebele Militia house. The community also contributed to build public gathering place. Moreover, the community worked together in planting trees."
1280,Do you feel that there has been any change in the way people in the community work together?,It been the same. It is so good.
1281,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
1282,What is the main reason for any change?,NA
1283,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Worse
1284,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,The community worked together in planting of tree which improved the wellbeing of the community and mine as a member of the community.
1285,"How hopeful are you for the future, do you feel your wellbeing will improve?",I am feeling down about life. I don’t feel hopeful about the future unless the problems related to our farmland get solved.
1286,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1287,"Important links to organisations, activity & change",Important link to no organization was stated -
1288,"Important links to organisations, activity & change",Important link to  -
1289,"Important links to organisations, activity & change",Important link to  -
1290,"Important links to organisations, activity & change",Important link to  -
1291,"Important links to organisations, activity & change",Important link to  -
1292,"Important links to organisations, activity & change",Important link to  -
1293,"Important links to organisations, activity & change",Important link to  -
1294,"Important links to organisations, activity & change",Important link to  -
1295,"Important links to organisations, rank",-
1296,"Important links to organisations, rank",-
1297,"Important links to organisations, rank",-
1298,"Important links to organisations, rank",-
1299,"Important links to organisations, rank",-
1300,"Important links to organisations, rank",-
1301,"Important links to organisations, rank",-
1302,"Important links to organisations, rank",-
1303,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.","Thank you for coming to visit me at this challenging time. The expropriation has devastating impact on our life. Most of us (the villagers whose farmlands have been expropriated) have been impoverished due to the expropriation. Although we have been given substitute land, it is not as fertile as our original land. As result, many of us are struggling to cope up with life. The entire community members are starving due to the bad weather condition and costs related to fertilizer. In previous years the government provides help to community during hungry season. But we are not getting help off state. So, the question is what is the intention of the government? How is the government going to intervene to improve our life? What are you going to do in order to support us?"
1304,Note down any of your own observations which you think are relevant.,"The informant looks confident, and she explained everything in detail."
1305,Household code,WAM-6
1306,Name of kebele,Wachiga Busha
1307,Name of interviewer,Enguday Meskele
1308,Date of interview,01/04/2019
1309,Start time of interview  (hh:mm),09:40
1310,End time of interview (hh:mm),10:25
1311,Duration of interview (in minutes),45
1312,Please can you tell me who currently belongs to your household?,NA
1313,What is the age of the main respondent?,65
1314,What is the education of the main respondent?,6
1315,What is the household size (residents > 6months)?,7
1316,How many under 18's in the household?,2
1317,How many under 16's in full time education in the household?,2
1318,Please note down the sex of the head of the household.,Male
1319,Does anyone in the household have a chronic illness or disability?,Yes
1320,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
1321,What is the main reason for any change?,"I think it is the bad weather condition that reduced what I earn from farming. Besides that, my farming land is not productive. Kebele administration gave me farming land as reward for my past military service to my county. But the problem is my farmland is located far away from home so I couldn’t use organic fertilizer like animal wastes, animal feces."
1322,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
1323,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
1324,What is the main reason for any change?,NA
1325,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.",I don’t have additional income from non-farming activity.
1326,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Decreased
1327,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
1328,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",There is no significant purchase or investment I have made over this period.
1329,"Overall, how has what you as a household can purchase with money changed over the period?",No change
1330,What is the main reason for any change?,NA
1331,"Please tell me how relationships within your household have changed in the past three years, if at all.","Relationships within my household are good. Whenever there is disagreement among us, we settle our issue through discussion. We respect each other. We did not encounter anything serious when it comes to relationship during this period. We also discuss and decide together when it is important to do so."
1332,Overall how do you feel that relationships within your household have changed…,No change
1333,What is the main reason for any change?,NA
1334,Do you feel that there has been any change in the way people in the community work together?,"Not much has changed over the last three years. The way the community works together has been the same. Community members work together in the area of development activities like repairing rural roads, and road construction to prevent erosion. We have been doing the same things we used to do previously. Though the community is willing to work together, there is nobody who encourages us to work together."
1335,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
1336,What is the main reason for any change?,The community has actively engaged in range of tasks assigned by Kebele administration over the past three years.
1337,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Worse
1338,"How hopeful are you for the future, do you feel your wellbeing will improve?",I hold on to God. I hope things get better in the future.
1339,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
1340,"Important links to organisations, activity & change",Important link to  -
1341,"Important links to organisations, activity & change",Important link to  -
1342,"Important links to organisations, activity & change",Important link to  -
1343,"Important links to organisations, activity & change",Important link to  -
1344,"Important links to organisations, activity & change",Important link to  -
1345,"Important links to organisations, activity & change",Important link to  -
1346,"Important links to organisations, activity & change",Important link to  -
1347,"Important links to organisations, rank",Send a Cow - 1
1348,"Important links to organisations, rank",-
1349,"Important links to organisations, rank",-
1350,"Important links to organisations, rank",-
1351,"Important links to organisations, rank",-
1352,"Important links to organisations, rank",-
1353,"Important links to organisations, rank",-
1354,"Important links to organisations, rank",-
1355,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
1356,Note down any of your own observations which you think are relevant.,He is very articulate in making his points. I feel like his remarks are honest since I have had the opportunity to see things first hand.
