text,female,key2,key3,key4,key5,key6,key7,statement,source__id
We need the path to have a safe route to cycle to Clevedon. A cyclist was badly injured recently cycling the main route to Yatton and having cycled it myself it is a very dangerous road as there are few passing places for cars and lorries which forces them to take chances and pass dangerously. Also in this modern era of inactive kide it gives kids a safe route to Clevedon where they can do other activities.,0,NA,NA,NA,NA,NA,NA,232,228
The bus to yatton to catch the train in the morning is not there. Cycling across the moor in dark winter months is too dangerous. I'm back to driving my car to work now but would love to cycle to train station instead.,0,NA,NA,NA,NA,NA,NA,233,229
"Having family in Yatton, we visit often with our young children to the area. It would widen opportunity of family days out knowing we could get to and from Clevedon without having to jump in the car. Currently we dont bother leaving Yatton as all too often the traffic is a nightmare with congestion.  Please bring back family day trips to Clevedon...there is so much to do there!",1,NA,NA,NA,NA,NA,NA,234,230
I travel to London regularly fromYatton station . I live in Clevedon so I have to take the car to the station. <br /><br />If there was a safe cycle route I could cycle to the station and back .<br /><br />I would also use the route to cycle and at weekends. Recently I cycled the strawberry line from Ystton to Winscombe which was a great safe route but I had to take the bike by car to Yatton first .,1,NA,NA,NA,NA,NA,NA,235,231
"The current strawberry line is a great resource, but if it can be linked to a large settlement such as Clevedon it will enable a large number of families and individuals to access a traffic free route without the need to drive to get there. This will not only tackle the increasing issues with air quality but also the ongoing child obesity epidemic. If parents do not have routes on which they feel their children will be safe it provides another excuse for lack of physical activity. The route is not just about cycling either, the large numbers of walkers on the existing strawberry line will attest to its benefits to their health and wellbeing. Extending the route can only be beneficial to all in North Somerset.",0,NA,NA,NA,NA,NA,NA,236,232
"Trying to keep my environmental footprint down, i cycle to Clevedon at least twice a week from Yatton. The B3133 is dangerous and the alteratives are long and one has fast cars. A Clevedon link would make that journey safe. Additionally, when i drive the route by car cyclists cause long delays due to the windy, single track road. I have seen this lead to road rage and dangerous overtaking in other drivers. A death will occur shortly, I'm sure.",NA,NA,NA,NA,NA,NA,NA,237,233
"Id love the start of my regular wonderful cycle from Yatton to Cheddar to not start with a treacherous first section, from my home in Clevedon! I love cycling as its cheap and great for my physical and mental wellbeing, but not when I have cars driving past me  at 40mph.",1,NA,NA,NA,NA,NA,NA,238,234
"I often do this cycle, and a designated cycle path would make my cycle a lot more safe.",NA,NA,NA,NA,NA,NA,NA,239,235
"I would like an easier, safer cycle route to yatton - I don't feel confident enough to cycle along the main roads into yatton from clevedon as cars can drive very fast down the roads",NA,NA,NA,NA,NA,NA,NA,240,236
I don't drive and find cycling an important way to get around.,NA,NA,NA,NA,NA,NA,NA,241,237
"I frequently visit family in Clevedon, and would be able to travel there, by train and cycle, in safety.",0,NA,NA,NA,NA,NA,NA,242,238
"As a keen cyclist and a regular user of cycle paths including Nailsea to Bristol, Bristol to Bath and the Strawberry Line the extension to Clevedon would provide a much needed safe route between the two towns.  Providing a separate route for cyclists, thereby taking them off narrow roads with fast moving traffic, would benefit both cyclists and drivers of motorised vehicles.",0,NA,NA,NA,NA,NA,NA,243,239
"I regularly (weekly) travel from Yatton to Clevedon to swim at the marine lake or the leisure centre. I also take my young family to Clevedon to play on the beach, Ladye Bay, the shops or Curzon cinema. All these journeys are by car. We would make these journeys by bike if we could but the road is unsafe for children and very unpleasant for adult cyclists. <br /><br />Given the large housing development in North End Yatton, this road will be busier and busier in future. A cycle route would reduce car journeys and contribute to improving public health and fitness.",0,NA,NA,NA,NA,NA,NA,244,240
To keep my arthritic knees in good shape after losing my right ACL to a sporting injury I cycle almost everyday around the village where I live which has become increasingly dangerous with HGV vehicles and if the Strawberry line for cycling were to be extended from Yatton to Clevedon would extend the opportunity for me to a take my Grandchildren cycling in safety too!,1,NA,NA,NA,NA,NA,NA,245,241
"I walk the dog. I play with the kids out on nature walks. I run for fitness, mental health and fun.  I would like more safe walkways.  I love the countryside.  Please extend the strawberry line! <br /><br /> Its such a shame that the path ends at yatton. Theres no safe pathway to clevedon Id love to get there without a car.",1,NA,NA,NA,NA,NA,NA,246,242
I currently use my car at least 2 times a week to travel between Bristol and Clevedon. If the strawberry line were extended between Yatton and Clevedon I could do it by bike and train.,1,NA,NA,NA,NA,NA,NA,247,243
Cycling is an excellent way to exercise from age 3 to 93 and offers so any benefits to the communities health and environment. It would connect a large population to a brilliant cycle path suitable for leisure and commuting.,0,NA,NA,NA,NA,NA,NA,248,244
It would provide a safe route to Yatton that is traffic free and enjoyable for all of my family.,1,NA,NA,NA,NA,NA,NA,249,245
Im not a cyclist but Im all for having s dedacated cycle way not only between Clevedon and Yatton but it should continue through to Portishead. This would allow the cyclists to not only ride in safety along these routes but keep the road safe for car drivers as well. Its not going to be long before theres a major accident somewhere along this route. Not all car drivers are considerent to the cyclists and this works the other way as well in that not all the cyclists are riding safety. I also think if this cycle way is ever opened that it should be compulsory for all cyclists to use it. Ive withheld my 2nd name and email cus I dont want the hassle I know would follow if you do publish these comments,0,NA,NA,NA,NA,NA,NA,250,246
"We have a number of employees who finish shifts and cycle from Yatton to clevedon often after midnight and in the dark, the road is dangerous.",0,NA,NA,NA,NA,NA,NA,251,247
"Currently it isnt safe to cycle from Clevedon to yatton to get on the strawberry line. At present I would drive my car to Yatton to get on the Strawberry Line. If there wee a dedicated cycle route to link to the strawberry line it would reduce the environmental impact of driving to get there. We are about to purchase a trishaw bike for the elderly residents in the care home I work in who would love to go out on the strawberry line but again would mean using a vehicle and is not very accessible for them to keep transferring from vehicle to bike, it would be much easier for them to get there all the way by bike",1,NA,NA,NA,NA,NA,NA,252,248
"I have been chronically ill for 13 years, losing many jobs and struggling to find any treatment. Cold water swimming and stress free off road cycling have improved my health enough for me to get back to full time work after repeated periods of unemployment and as a result, unstable living arrangements. Since moving to the area I have been largely unable to get to the marine lake due to the difficulty in getting from Yatton to Clevedon because of the 5 mile unprotected roadway that currently joins to the two, this road is simply not safe for vulnerable road users. A cycle path from Yatton to Clevedon will enable me to swim regularly in Clevedon for the benefit of my health and everything else that comes with it.",1,NA,NA,NA,NA,NA,NA,253,249
"Cycling helps my mental health and keeps me smiling and happy,inside and out.",0,NA,NA,NA,NA,NA,NA,254,250
"My wife and I are regular cycle tourists and we completed Land's End to John O'Groats unsupported earlier in 2018.   As Clevedon residents we believe that a safe cycling route to Yatton would open up the cycling opportunities in this area in the same way that similar connections have done that we come across regularly in other parts of the country.  <br /><br /><br /><br />I also work in Bristol and a safe off-road cycle route to Yatton railway station would make it much more likely that I would cycle to get the train instead of driving as I do now, especially during the dark mornings and evenings when even the back roads can be quite dangerous for a cyclist. <br /><br /><br /><br />We fully support the Strawberry Line extension to Clevedon.",NA,NA,NA,NA,NA,NA,NA,255,251
"I know I need to take more exercise but I am not a confident cyclist, I didnt learn until I was 30, and so am not happy cycling on the roads. If there were a safe route to do so I would cycle to and from Strode Leisure centre where I take various classes. More exercise, less traffic, win win.",NA,NA,NA,NA,NA,NA,NA,256,252
Frequent visitor to Yatton and really appreciate the existing Strawberry Line walk with its abundant birdlife. Sadly to get to the coast I have to use the car.,NA,NA,NA,NA,NA,NA,NA,257,253
I grew up in Yatton and have had to cycle to Clevedon many times as a youngster.  Its not a safe road to cycle on and there is no walkway. Yatton and Clevedon are very cut off unless you drive as the bus service is awful. I would love to see the strawberry line opened to Clevedon to make it safe to cycle there and not have to use a car.,1,NA,NA,NA,NA,NA,NA,258,254
To give safe access to yatton train station,NA,NA,NA,NA,NA,NA,NA,259,255
"The roads out of Clevedon are limited to Yatton / Nailsea and Portishead. They are all similar B roads without pavements (in the main) and busy routes with HGV traffic, clearly not suitable for bicycle and pedestrians. We have been waiting for a very long time for this link to be created to the existing path and please can it happen soon. With outdoor exercise seen as the best way to deal with body and mental health, this must surely be a project that should have much more priority than it currently does. extending the link will also generate more local spend both in Clevedon and along the path as more people will be using it.",0,NA,NA,NA,NA,NA,NA,260,256
"Yatton is the nearest train station to Clevedon. A pedestrian path would allow the people of Clevedon, who commonly work in places like Weston and Bristol to commute to work in a more economically friendly way. The road to Yatton is a dangerous one for cyclists, I've personally witnessed a few near misses myself to the point where I am far too nervous to attempt the journey, and have instead had to request a lift to the station! It seems like a no-brainer, and much easier than asking for the roads to accommodate cycle lanes.",1,NA,NA,NA,NA,NA,NA,261,257
"I've lived in Clevedon all my life but moved to Yatton 3 years ago. I'm a keen cyclist and have a new born baby, I would love to ride to see both sets of family in Clevedon but the roads are too busy to travel with a little one. This part of the route is long overdue!",0,NA,NA,NA,NA,NA,NA,262,258
"The road between the two is very busy and dangerous to cyclists. I live in Yatton and visit Clevedon regulars, I would far rather walk or cycle and a purpose built path.",1,NA,NA,NA,NA,NA,NA,263,259
"I have recently moved to the area from the East Midlands. When out running and exploring the area I stumbled upon the Strawberry Line. Just brilliant! What a find! So nice to be able to get away from the roads and just enjoy the beauty of running. The path is clearly very active with an abundance of walkers, cyclists and runners, that all appear to make the time to say a quick hello. It certainly makes the runs go a little bit quicker! As a running coach I am so often looking for new routes and areas to run that I can recommend to my runners. Not only to add variety to their sessions but also to keep them safe from traffic, and the Strawberry Line to Clevedon would certainly provide this. Personally, I train for marathons and I would LOVE the opportunity to take the Strawberry Line to Clevedon!! Very exciting indeed and I really hope this project can get the traction it needs to get those wheels in motion. ??",0,NA,NA,NA,NA,NA,NA,264,260
"Theres to much pollution on our roads, which isnt being helped by more houses being built in a already busy area.  We need more cycle paths for clean air and to make the human race more fitter, and leave the cars at home.",NA,NA,NA,NA,NA,NA,NA,265,261
It would be great to get away from the traffic and feel safe without it thundering past you.,NA,NA,NA,NA,NA,NA,NA,266,262
"I have cycled between Clevedon where I live and Yatton to catch a train to Bath on a daily basis. I was often concerned about the driving on the two road routes to Yatton as both have vehicles travelling at high speed and despite high visibility clothing, good lighting and reflective bands on my leg I was worried about other drivers not seeming to notice me until they were very close. <br /><br />As a family we use the Strawberry line to cycle between Yatton and Cheddar with our three daughters (currently 14, 13 and 9) and have done so for several years. The problem is that as it stands we cant cycle from home but have to load 5 bikes onto our roof bars (which we have to fit from storage first) and then drive to Yatton before using the line. The line is completely safe, takes us through the beautiful countryside and is a wonderful experience but the preparation time and effort required means that we dont do the trip nearly as often as we would if the link from Clevedon to Yatton was present. <br /><br />I would be delighted to see the line reopen for cycling and walkers between Clevedon and Yatton and possibly even onwards to Portishead. It would undoubtedly be beneficial for commuters to connect to the rail network and also promote better health and countryside education through recreational use.",0,NA,NA,NA,NA,NA,NA,267,263
"Ive used the Strawberry Line many times from Yatton. Even once getting a puncture mid ride, much nicer to walk back on the Strawberry Line than busy roads! However, having to drive to Yatton from Clevedon is a real shame when we could all be saving on driving, improving our environment and travelling further by bike",0,NA,NA,NA,NA,NA,NA,268,264
"Access to the rail network without having to use fuel burning, carbon spewing motor transport would be really helpful. The B3133 is far too dangerous to cycle, especially in low light conditions and poor weather.",NA,NA,NA,NA,NA,NA,NA,269,265
i love to cycle the strawberry line and elsewhere that is safe not only for me but my kids. it would be wonderful to connect with clevedon and the seafront and centre. no brainer!!  ;-),1,NA,NA,NA,NA,NA,NA,270,266
Would like a safe route to get to Yatton as have family there and try not to use the car if possible.,NA,NA,NA,NA,NA,NA,NA,271,267
"The strawberry line is a great path. And a longer path will be even better. Commuters tourists learning to cycle, returning to cycling. Walkers love it too for similar reasons. And mobility scooters. And runners. And dog walkers.  Charity events. Etc",0,NA,NA,NA,NA,NA,NA,272,268
"I moved to Clevedon in 2016 having lived in Bristol and cycled to work in the city.  I would like to continue that exercise and routine but I now find that all routes between Clevedon and Yatton Station are unpleasant and dangerous for cyclists.  I would also like to be a positive roll model for my 2 year old son by cycling to and from Yatton Station but find that the benefit of being that roll model is outweighed by the risk to my life as a cyclist.  I know because I am now one of the car commuters who drives between Clevedon and Yatton Station and I have seen several near misses in the two years that I have been driving the route.  By extending the Strawberry Line to Clevedon I would remove a car from the road, thereby helping the environment; I would set a good example to my son and I would be a healthier person and therefore less likely to be a drain on the NHS.",0,NA,NA,NA,NA,NA,NA,273,269
I need a cycle path from Clevedon to Yatton to enable me to link up with the train station in Yatton in order to commute to work.,NA,NA,NA,NA,NA,NA,NA,274,270
"I am a founder member of a local cycling recreational group who regularly use the Strawberry Line from Cheddar to Yatton. The path is not long enough for a decent-length ride so we often extend it to Clevedon, often to the craft centre where there is a caf. However the roads from Yatton to  Clevedon that we have to use are very long and straight and are also used by a considerable number of  fast-moving cars, some of which are clearly exceeding the speed limit. Extension of the line to Clevedon would make our day's riding much more enjoyable and much less dangerous and unpleasant.",0,NA,NA,NA,NA,NA,NA,275,271
I cycle twice a day between  Congresbury and Clevedon - up to Yatton down the Strawberry Line no problem ( safe no vehicles ) then !!  Lorries tractors etc - this new extension of the route will save cyclists lots of hassle and also encourage other to take up cycling to school/work and for pleasure.,0,NA,NA,NA,NA,NA,NA,276,272
I live in Clevedon and it would be great to cycle the line from here with my family as the road to yatton is very dangerous on a bike,NA,NA,NA,NA,NA,NA,NA,277,273
"We should be encouraging everyone to enjoy the outdoors and keep fit. Cycling is a great family activity but the road between Clevedon to Yatton is narrow, winding and busy (and dangerous for cyclists). That's why a cycle path is needed!",1,NA,NA,NA,NA,NA,NA,278,274
"There are only 2 routes by bike to Clevedon. 1 route takes you along a 60mph road. The other is 40mph with very little opportunity for cars to overtake. There is also a very poor bus service to Clevedon from Yatton (despite Yatton being the train station for Clevedon). If the path was extended, Yatton village would be able to access shops, cinema and the coast without the need for cars. Less cars on the road would result in a safer environment. More bicycles and walking would result in better health outcomes and better quality of life. Young people would have more work opportunities if Clevedon could be accessible safely by bike. It would make family life better.",1,NA,NA,NA,NA,NA,NA,279,275
